,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
9214,Vic Braseria,,,4.5,,Sicilia 202,"Sicília, Rambla del Fondo, 08922 Santa Coloma de Gramenet, Spain",41.4514955,2.2174059
9215,MinE,,€17 - €33,4.5,,"Bejar, 66","Avinguda de Béjar, Terrassa, Spain",41.5800642,2.0179656
9216,Gasterea,,,4.5,,Calle Verdi 39,"Carrer Verdi, 39, 08922 Santa Coloma de Gramenet, Spain",41.4528283,2.217852
9217,Mako,,€15 - €35,4.5,,Consell de Cent 255,"Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
9218,Tapas 2254,,,4.5,,Consell De Cent 335,"Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
9219,Story,,€15 - €30,4.5,,Pou de la Cadena 8,"Carrer del Pou de la Cadena, CP 08003 Barcelona, Spain",41.3846702,2.1798183
9220,Eden Napoletano,,"Italian, Pizza, Mediterranean, European",4.5,,"Carrer de la Diputacio, 197","Eden napolitano, Carrer de la Diputació, 197, 08011 Barcelona, Spain",41.3860593,2.1611003
9221,Elsa y Fred,,,4.5,,Carrer Rec Comtal 11,"Hotel Catalonia Born, Carrer del Rec Comtal, 16-18, 08003 Barcelona, Spain",41.3896556,2.1798933
9222,L’Amfora,,,4.5,,"Parallel Ave, 184","Paral·lel, Avinguda del Paral·lel, 08015 Barcelona, Spain",41.375133,2.1693278
9223,La Cholita,,,4.5,,"Felip II, 244","Felip II, Carrer de Sant Antoni Maria Claret, 08027 Barcelona, Spain",41.4203918,2.1865602
9224,Informal,,,4.5,,Calle de la Plata 4,"Carrer de la Plata, 4, 08002 Barcelona, Spain",41.3802409,2.180776
9225,Messie Sin Gluten Gracia - Gluten free,,,4.5,,"Siracusa, 15","Siracusa, Plaça del Poble Romaní, 08037 BCN Barcelona, Spain",41.4018062,2.1608594
9226,Quinoa Bar Vegetaria,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,,"Travessera de Gracia, 203","Quinoa Bar Vegetarià, Travessera de Gràcia, 203, 08037 BCN Barcelona, Spain",41.402733,2.1599817
9227,Restaurante Parrilla Alfonsina,,€27 - €40,4.5,,"Diputacio, 379","Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
9228,La Tere Gastrobar,,,4.5,,"Carrer de Riego, 25","Carrer de Riego, 25, 08014 Barcelona, Spain",41.3765236,2.1381743
9229,La Confiteria,,Bar,4.5,,Carrer de Sant Pau 128,"Carrer de Sant Pau, 128, 08001 Barcelona, Spain",41.3755369,2.1679455
9230,The Rooftop at Sir Victor,,€6 - €20,5.0,,"Carrer del Rossello, 265","Hotel Sir Victor, Carrer del Rosselló, 265, 08008 Barcelona, Spain",41.3961876,2.1609748
9231,Taverna Iberia,,,4.5,,"Carrer de Almirall Churruca, 4","Catalonia, Spain",41.66667,2.0
9232,Avinyo10,,"Mediterranean, European, Spanish, Catalan",4.5,,"Carrer Avinyo, 10","Carrer Avinyó, 08650 Sallent, Spain",41.8254821,1.8956757
9233,Vivo cocktail tapas restaurant,,,4.5,,Carrer del Rossello 255,"Carrer del Rosselló, 255, 08008 Barcelona, Spain",41.3951823,2.1596505
