left,top,right,bottom,id
239932.5585418254777323,5075282.2705281060189009,240032.5585418254777323,5075382.2705281060189009,"74"
239932.5585418254777323,5075182.2705281060189009,240032.5585418254777323,5075282.2705281060189009,"75"
239932.5585418254777323,5075082.2705281060189009,240032.5585418254777323,5075182.2705281060189009,"76"
239932.5585418254777323,5074982.2705281060189009,240032.5585418254777323,5075082.2705281060189009,"77"
239932.5585418254777323,5074882.2705281060189009,240032.5585418254777323,5074982.2705281060189009,"78"
239932.5585418254777323,5074782.2705281060189009,240032.5585418254777323,5074882.2705281060189009,"79"
239932.5585418254777323,5074682.2705281060189009,240032.5585418254777323,5074782.2705281060189009,"80"
239932.5585418254777323,5074582.2705281060189009,240032.5585418254777323,5074682.2705281060189009,"81"
239932.5585418254777323,5074482.2705281060189009,240032.5585418254777323,5074582.2705281060189009,"82"
239932.5585418254777323,5074382.2705281060189009,240032.5585418254777323,5074482.2705281060189009,"83"
239932.5585418254777323,5074282.2705281060189009,240032.5585418254777323,5074382.2705281060189009,"84"
239932.5585418254777323,5074182.2705281060189009,240032.5585418254777323,5074282.2705281060189009,"85"
239932.5585418254777323,5074082.2705281060189009,240032.5585418254777323,5074182.2705281060189009,"86"
239932.5585418254777323,5073982.2705281060189009,240032.5585418254777323,5074082.2705281060189009,"87"
239932.5585418254777323,5073882.2705281060189009,240032.5585418254777323,5073982.2705281060189009,"88"
239932.5585418254777323,5073782.2705281060189009,240032.5585418254777323,5073882.2705281060189009,"89"
239932.5585418254777323,5073682.2705281060189009,240032.5585418254777323,5073782.2705281060189009,"90"
239932.5585418254777323,5073582.2705281060189009,240032.5585418254777323,5073682.2705281060189009,"91"
239932.5585418254777323,5073482.2705281060189009,240032.5585418254777323,5073582.2705281060189009,"92"
239932.5585418254777323,5073382.2705281060189009,240032.5585418254777323,5073482.2705281060189009,"93"
239932.5585418254777323,5073282.2705281060189009,240032.5585418254777323,5073382.2705281060189009,"94"
239932.5585418254777323,5073182.2705281060189009,240032.5585418254777323,5073282.2705281060189009,"95"
239932.5585418254777323,5073082.2705281060189009,240032.5585418254777323,5073182.2705281060189009,"96"
239932.5585418254777323,5072982.2705281060189009,240032.5585418254777323,5073082.2705281060189009,"97"
239932.5585418254777323,5072882.2705281060189009,240032.5585418254777323,5072982.2705281060189009,"98"
239932.5585418254777323,5072782.2705281060189009,240032.5585418254777323,5072882.2705281060189009,"99"
239932.5585418254777323,5072682.2705281060189009,240032.5585418254777323,5072782.2705281060189009,"100"
239932.5585418254777323,5072582.2705281060189009,240032.5585418254777323,5072682.2705281060189009,"101"
239932.5585418254777323,5072482.2705281060189009,240032.5585418254777323,5072582.2705281060189009,"102"
239932.5585418254777323,5072382.2705281060189009,240032.5585418254777323,5072482.2705281060189009,"103"
