left,top,right,bottom,id
246231.8241901895962656,5072084.8399538528174162,246331.8241901895962656,5072184.8399538528174162,96
246231.8241901895962656,5071984.8399538528174162,246331.8241901895962656,5072084.8399538528174162,97
246231.8241901895962656,5071884.8399538528174162,246331.8241901895962656,5071984.8399538528174162,98
246231.8241901895962656,5071784.8399538528174162,246331.8241901895962656,5071884.8399538528174162,99
246331.8241901895962656,5072584.8399538528174162,246431.8241901895962656,5072684.8399538528174162,100
246331.8241901895962656,5072484.8399538528174162,246431.8241901895962656,5072584.8399538528174162,101
246331.8241901895962656,5072384.8399538528174162,246431.8241901895962656,5072484.8399538528174162,102
246331.8241901895962656,5072284.8399538528174162,246431.8241901895962656,5072384.8399538528174162,103
246331.8241901895962656,5072184.8399538528174162,246431.8241901895962656,5072284.8399538528174162,104
246331.8241901895962656,5072084.8399538528174162,246431.8241901895962656,5072184.8399538528174162,105
246331.8241901895962656,5071984.8399538528174162,246431.8241901895962656,5072084.8399538528174162,106
246331.8241901895962656,5071884.8399538528174162,246431.8241901895962656,5071984.8399538528174162,107
246331.8241901895962656,5071784.8399538528174162,246431.8241901895962656,5071884.8399538528174162,108
